analysis,Parm,mod,group,RR,UCI,LCI,Probt,exposure,cases,total,
adjusted,adolchstq1,adol,life,1.411,1.883,1.058,0.019,Sedentary time Q2 vs. Q1,427,5828,"1.41 (1.06, 1.88)"
adjusted,adolchstq2,adol,life,1.573,2.141,1.155,0.004,Sedentary time Q3 vs. Q1,427,5828,"1.57 (1.16, 2.14)"
adjusted,adolchstq3,adol,life,2.372,3.217,1.748,0,Sedentary time Q4 vs. Q1,427,5828,"2.37 (1.75, 3.22)"
adjusted,adolchpaq0,adol,life,0.894,1.214,0.658,0.47,Physical activity Q1 vs. Q4,427,5828,"0.89 (0.66, 1.21)"
adjusted,adolchpaq1,adol,life,0.858,1.149,0.641,0.303,Physical activity Q2 vs. Q4,427,5828,"0.86 (0.64, 1.15)"
adjusted,adolchpaq2,adol,life,0.782,1.071,0.571,0.125,Physical activity Q3 vs. Q4,427,5828,"0.78 (0.57, 1.07)"
adjusted,chwestv_adolm,adol,life,0.971,1.193,0.79,0.777,Western Diet (trend),427,5828,"0.97 (0.79, 1.19)"
adjusted,chstv_adolm,adol,life,1.026,1.035,1.017,0,Sedentary time (trend),427,5828,"1.03 (1.02, 1.04)"
adjusted,chpav_adolm,adol,life,1.005,1.022,0.988,0.579,Physical activity (trend),427,5828,"1.01 (0.99, 1.02)"
unadjusted,pregmowestq1,preg,mom,1.104,1.913,0.637,0.718,Maternal Western Diet Q2 vs. Q1,193,3795,"1.1 (0.64, 1.91)"
unadjusted,pregmowestq2,preg,mom,1.164,2.287,0.592,0.644,Maternal Western Diet Q3 vs. Q1,193,3795,"1.16 (0.59, 2.29)"
unadjusted,pregmowestq3,preg,mom,1.16,2.129,0.632,0.629,Maternal Western Diet Q4 vs. Q1,193,3795,"1.16 (0.63, 2.13)"
unadjusted,pregmopaq0,preg,mom,1.576,2.467,1.007,0.046,Maternal physical activity Q1 vs. Q4,193,3795,"1.58 (1.01, 2.47)"
unadjusted,pregmopaq1,preg,mom,1.077,1.849,0.627,0.783,Maternal physical activity Q2 vs. Q4,193,3795,"1.08 (0.63, 1.85)"
unadjusted,pregmopaq2,preg,mom,1.202,1.973,0.733,0.457,Maternal physical activity Q3 vs. Q4,193,3795,"1.2 (0.73, 1.97)"
unadjusted,mosmkv_preg,preg,mom,1.094,1.836,0.652,0.712,Maternal smoking Ever vs. Never,193,3795,"1.09 (0.65, 1.84)"
unadjusted,moshiftb_preg,preg,mom,1.096,1.619,0.741,0.64,Maternal Shiftwork Some vs. None,193,3795,"1.1 (0.74, 1.62)"
unadjusted,earlychmowestq1,earlych,mom,1.102,1.768,0.688,0.683,Maternal Western Diet Q2 vs. Q1,193,3795,"1.1 (0.69, 1.77)"
unadjusted,earlychmowestq2,earlych,mom,0.982,1.722,0.561,0.95,Maternal Western Diet Q3 vs. Q1,193,3795,"0.98 (0.56, 1.72)"
unadjusted,earlychmowestq3,earlych,mom,1.239,2.226,0.69,0.471,Maternal Western Diet Q4 vs. Q1,193,3795,"1.24 (0.69, 2.23)"
unadjusted,earlychmopaq0,earlych,mom,1.42,2.19,0.921,0.112,Maternal physical activity Q1 vs. Q4,193,3795,"1.42 (0.92, 2.19)"
unadjusted,earlychmopaq1,earlych,mom,1.228,1.888,0.799,0.347,Maternal physical activity Q2 vs. Q4,193,3795,"1.23 (0.8, 1.89)"
unadjusted,earlychmopaq2,earlych,mom,1.066,1.662,0.683,0.777,Maternal physical activity Q3 vs. Q4,193,3795,"1.07 (0.68, 1.66)"
unadjusted,mosmkv_earlych,earlych,mom,1.079,1.831,0.636,0.759,Maternal smoking Ever vs. Never,193,3795,"1.08 (0.64, 1.83)"
unadjusted,moshiftb_earlych,earlych,mom,1.371,1.862,1.01,0.043,Maternal Shiftwork Some vs. None,193,3795,"1.37 (1.01, 1.86)"
unadjusted,chmowestq1,ch,mom,1.012,1.731,0.592,0.965,Maternal Western Diet Q2 vs. Q1,193,3795,"1.01 (0.59, 1.73)"
unadjusted,chmowestq2,ch,mom,0.982,1.651,0.584,0.945,Maternal Western Diet Q3 vs. Q1,193,3795,"0.98 (0.58, 1.65)"
unadjusted,chmowestq3,ch,mom,1.358,2.364,0.78,0.278,Maternal Western Diet Q4 vs. Q1,193,3795,"1.36 (0.78, 2.36)"
unadjusted,chmopaq0,ch,mom,1.26,1.901,0.835,0.269,Maternal physical activity Q1 vs. Q4,193,3795,"1.26 (0.84, 1.9)"
unadjusted,chmopaq1,ch,mom,1.008,1.582,0.642,0.973,Maternal physical activity Q2 vs. Q4,193,3795,"1.01 (0.64, 1.58)"
unadjusted,chmopaq2,ch,mom,0.957,1.5,0.611,0.847,Maternal physical activity Q3 vs. Q4,193,3795,"0.96 (0.61, 1.5)"
unadjusted,mosmkv_ch,ch,mom,1.091,1.82,0.654,0.719,Maternal smoking Ever vs. Never,193,3795,"1.09 (0.65, 1.82)"
unadjusted,moshiftb_ch,ch,mom,1.136,1.576,0.819,0.443,Maternal Shiftwork Some vs. None,193,3795,"1.14 (0.82, 1.58)"
unadjusted,adolmowestq1,adol,mom,1.237,2.378,0.643,0.494,Maternal Western Diet Q2 vs. Q1,193,3795,"1.24 (0.64, 2.38)"
unadjusted,adolmowestq2,adol,mom,1.009,1.77,0.575,0.975,Maternal Western Diet Q3 vs. Q1,193,3795,"1.01 (0.58, 1.77)"
unadjusted,adolmowestq3,adol,mom,0.99,1.874,0.524,0.976,Maternal Western Diet Q4 vs. Q1,193,3795,"0.99 (0.52, 1.87)"
unadjusted,adolmopaq0,adol,mom,1.573,2.593,0.954,0.075,Maternal physical activity Q1 vs. Q4,193,3795,"1.57 (0.95, 2.59)"
unadjusted,adolmopaq1,adol,mom,1.284,2.042,0.807,0.288,Maternal physical activity Q2 vs. Q4,193,3795,"1.28 (0.81, 2.04)"
unadjusted,adolmopaq2,adol,mom,1.044,1.718,0.634,0.864,Maternal physical activity Q3 vs. Q4,193,3795,"1.04 (0.63, 1.72)"
