Parm,Estimate,Stderr,LowerCL,UpperCL,Z,ProbZ,Level1,mod,RR,LCI,UCI
pregcomp2,0.0002,0.1383,-0.2709,0.2713,0.00,0.9987,,joi,1.0002242902,0.7627217682,1.3116822838
bpregob,0.1485,0.1734,-0.1913,0.4884,0.86,0.3917,,joi,1.1601217622,0.8258796031,1.6296352373
ses_m,-0.0241,0.0191,-0.0616,0.0134,-1.26,0.2070,,joi,0.9761461937,0.9402213005,1.0134437403
husbeduc,-0.1381,0.0670,-0.2694,-0.0068,-2.06,0.0392,,joi,0.8710032779,0.7638378816,0.9932038308
income,-0.0092,0.0544,-0.1158,0.0974,-0.17,0.8660,,joi,0.9908659282,0.8906951966,1.1023022146
chwest_m,0.2095,0.0944,0.0245,0.3946,2.22,0.0265,,joi,1.2330777684,1.0247579744,1.4837462318
chst_m,0.0001,0.0033,-0.0063,0.0065,0.02,0.9818,,joi,1.0000743167,0.993705885,1.0064835623
chpa_m,-0.0220,0.0069,-0.0354,-0.0086,-3.21,0.0013,,joi,0.9782362356,0.9651844391,0.9914645262
chcal_m,-0.0001,0.0001,-0.0004,0.0002,-0.67,0.5047,,joi,0.9999103122,0.9996468838,1.0001738101
prev_preg1,0.1103,0.1083,-0.1020,0.3227,1.02,0.3084,,joi,1.1166494246,0.903038743,1.3807889717
prev_preg2,0.1515,0.1294,-0.1021,0.4052,1.17,0.2417,,joi,1.1636136128,0.9029034463,1.4996029149
prev_preg3,0.1966,0.1526,-0.1026,0.4957,1.29,0.1978,,joi,1.2172007882,0.9024831349,1.6416680838
region,0.0741,0.1472,-0.2144,0.3625,0.50,0.6148,1,joi,1.0768841243,0.8070229097,1.4369845058
region,0.1454,0.1517,-0.1519,0.4428,0.96,0.3378,2,joi,1.1565270456,0.8590662801,1.5569867403
region,0.0334,0.1813,-0.3219,0.3886,0.18,0.8539,3,joi,1.0339335659,0.724777306,1.4749614949
region,0.0000,0.0000,0.0000,0.0000,,,4,joi,1,1,1
moage,0.0275,0.0140,0.0001,0.0549,1.97,0.0492,,joi,1.0278731061,1.0000998331,1.0564176567
cohort,-0.6451,0.1015,-0.8442,-0.4461,-6.35,<.0001,,joi,0.52459597,0.4299180784,0.6401241203
chage,0.0367,0.0240,-0.0104,0.0837,1.53,0.1270,,joi,1.037339708,0.9896242124,1.0873558432
white,-0.1233,0.1793,-0.4747,0.2280,-0.69,0.4914,,joi,0.8839679017,0.6220972662,1.2560724726
sex,-0.6439,0.0945,-0.8292,-0.4587,-6.81,<.0001,,joi,0.5252175345,0.4363951002,0.6321185973
chbmibase,0.4658,0.0143,0.4378,0.4938,32.60,<.0001,,joi,1.5933324806,1.5493297482,1.6385849409
