,parameter,mod,group,subgroup,exposure,PAF,LCI,UCI,PAR_estimate,PAR_min,PAR_max,Q_stat,p_het,category
106,par,mom,sex,female,Physical activity (m),12.027,8.533,14.399,0.12027,0.08533,0.14399,1.22,0.26762,Maternal
110,par,mom,sex,female,Smoking,6.343,4.584,7.466,0.06343,0.04584,0.07466,0.01,0.91823,Maternal
113,par,mom,sex,female,Night-shift work,15.298,12.877,17.023,0.15298,0.12877,0.17023,0.17,0.67795,Maternal
118,par,mom,sex,female,Maternal risk factors,51.768,47.719,56.542,0.51768,0.47719,0.56542,0.67,0.41248,Maternal
134,par,mom,sex,male,Obesity,15.862,14.610,16.810,0.15862,0.1461,0.1681,7.86,,Maternal
119,par,mom,sex,male,Western diet (m),9.996,5.725,13.650,0.09996,0.05725,0.1365,3.61,,Maternal
123,par,mom,sex,male,Physical activity (m),22.372,20.459,24.788,0.22372,0.20459,0.24788,1.22,,Maternal
127,par,mom,sex,male,Smoking,6.736,5.982,7.422,0.06736,0.05982,0.07422,0.01,,Maternal
130,par,mom,sex,male,Night-shift work,11.679,8.084,16.400,0.11679,0.08084,0.164,0.17,,Maternal
135,par,mom,sex,male,Maternal risk factors,43.320,41.558,45.053,0.4332,0.41558,0.45053,0.67,,Maternal
,par,mom,mob,moob,Obesity,,,,,,,,,Maternal
136,par,mom,mob,moob,Western diet (m),6.832,3.322,10.523,0.06832,0.03322,0.10523,0.15,0.69471,Maternal
140,par,mom,mob,moob,Physical activity (m),14.238,3.403,20.221,0.14238,0.03403,0.20221,0.07,0.79031,Maternal
144,par,mom,mob,moob,Smoking,5.119,3.860,6.504,0.05119,0.0386,0.06504,0.15,0.68962,Maternal
147,par,mom,mob,moob,Night-shift work,5.746,1.642,10.373,0.05746,0.01642,0.10373,0.3,0.58272,Maternal
151,par,mom,mob,moob,Maternal risk factors,28.610,21.598,33.878,0.2861,0.21598,0.33878,0.15,0.69635,Maternal
,par,mom,mob,moob,Obesity,,,,,,,,,Maternal
152,par,mom,mob,nomoob,Western diet (m),12.725,8.814,17.339,0.12725,0.08814,0.17339,0.15,,Maternal
156,par,mom,mob,nomoob,Physical activity (m),10.422,9.680,12.135,0.10422,0.0968,0.12135,0.07,,Maternal
160,par,mom,mob,nomoob,Smoking,6.785,5.197,7.613,0.06785,0.05197,0.07613,0.15,,Maternal
163,par,mom,mob,nomoob,Night-shift work,11.476,8.500,14.105,0.11476,0.085,0.14105,0.3,,Maternal
167,par,mom,mob,nomoob,Maternal risk factors,35.466,34.199,39.242,0.35466,0.34199,0.39242,0.15,,Maternal
183,par,mom,age,teen,Obesity,19.334,18.792,19.947,0.19334,0.18792,0.19947,0.08,0.77383,Maternal
168,par,mom,age,teen,Western diet (m),20.604,17.646,25.021,0.20604,0.17646,0.25021,0.01,0.88772,Maternal
172,par,mom,age,teen,Physical activity (m),19.306,16.397,21.686,0.19306,0.16397,0.21686,0.78,0.37596,Maternal
176,par,mom,age,teen,Smoking,7.500,6.499,8.469,0.075,0.06499,0.08469,1.71,0.19043,Maternal
179,par,mom,age,teen,Night-shift work,13.438,10.080,17.003,0.13438,0.1008,0.17003,0,0.93286,Maternal
184,par,mom,age,teen,Maternal risk factors,48.253,44.156,52.119,0.48253,0.44156,0.52119,0.14,0.70634,Maternal
265,par,uter,age,child,Pre-pregnancy obesity,6.355,5.546,7.145,0.06355,0.05546,0.07145,0.57,,Maternal
257,par,uter,age,child,Birth weight,4.102,2.068,5.073,0.04102,0.02068,0.05073,0.52,,Intrauterine
260,par,uter,age,child,Gestational age,4.274,3.326,5.622,0.04274,0.03326,0.05622,0.54,,Intrauterine
263,par,uter,age,child,Delivery mode,7.631,6.105,9.517,0.07631,0.06105,0.09517,0.71,,Intrauterine
264,par,uter,age,child,Pregnancy complication,4.612,4.031,5.377,0.04612,0.04031,0.05377,0.46,,Intrauterine
266,par,uter,age,child,Intrauterine risk factors,22.612,20.903,23.666,0.22612,0.20903,0.23666,1.75,,Intrauterine
275,par,uter,sex,female,Pre-pregnancy obesity,10.344,9.704,10.997,0.10344,0.09704,0.10997,5.23,0.0222,Intrauterine
267,par,uter,sex,female,Birth weight,1.533,1.056,2.800,0.01533,0.01056,0.028,0.38,0.53303,Intrauterine
270,par,uter,sex,female,Gestational age,1.864,1.342,2.335,0.01864,0.01342,0.02335,0,0.98255,Intrauterine
273,par,uter,sex,female,Delivery mode,2.819,1.448,4.556,0.02819,0.01448,0.04556,0.65,0.41868,Intrauterine
274,par,uter,sex,female,Pregnancy complication,2.961,1.383,4.186,0.02961,0.01383,0.04186,0,0.94062,Intrauterine
276,par,uter,sex,female,Intrauterine risk factors,17.487,16.093,18.688,0.17487,0.16093,0.18688,0.03,0.86182,Intrauterine
285,par,uter,sex,male,Pre-pregnancy obesity,6.065,5.837,6.386,0.06065,0.05837,0.06386,5.23,,Intrauterine
277,par,uter,sex,male,Birth weight,2.838,2.187,3.431,0.02838,0.02187,0.03431,0.38,,Intrauterine
280,par,uter,sex,male,Gestational age,1.808,1.301,2.782,0.01808,0.01301,0.02782,0,,Intrauterine
283,par,uter,sex,male,Delivery mode,5.547,4.773,6.584,0.05547,0.04773,0.06584,0.65,,Intrauterine
284,par,uter,sex,male,Pregnancy complication,2.779,1.785,3.420,0.02779,0.01785,0.0342,0,,Intrauterine
286,par,uter,sex,male,Intrauterine risk factors,16.830,15.944,17.736,0.1683,0.15944,0.17736,0.03,,Intrauterine
295,par,uter,mob,moob,Pre-pregnancy obesity,9.675,9.071,10.570,0.09675,0.09071,0.1057,6.74,0.00941,Intrauterine
287,par,uter,mob,moob,Birth weight,1.414,0.722,2.432,0.01414,0.00722,0.02432,0.06,0.80144,Intrauterine
290,par,uter,mob,moob,Gestational age,2.710,1.194,4.779,0.0271,0.01194,0.04779,0.16,0.68474,Intrauterine
293,par,uter,mob,moob,Delivery mode,4.783,1.609,6.493,0.04783,0.01609,0.06493,0.19,0.65651,Intrauterine
294,par,uter,mob,moob,Pregnancy complication,0.626,0.000,1.943,0.00626,0,0.01943,0.42,0.5129,Intrauterine
296,par,uter,mob,moob,Intrauterine risk factors,17.551,14.221,19.942,0.17551,0.14221,0.19942,2.24,0.13436,Intrauterine
305,par,uter,mob,nomoob,Pre-pregnancy obesity,0.452,0.357,0.544,0.00452,0.00357,0.00544,6.74,,Intrauterine
297,par,uter,mob,nomoob,Birth weight,1.994,1.187,2.436,0.01994,0.01187,0.02436,0.06,,Intrauterine
300,par,uter,mob,nomoob,Gestational age,1.452,1.157,1.859,0.01452,0.01157,0.01859,0.16,,Intrauterine
303,par,uter,mob,nomoob,Delivery mode,2.850,1.341,3.525,0.0285,0.01341,0.03525,0.19,,Intrauterine
304,par,uter,mob,nomoob,Pregnancy complication,2.510,1.883,2.780,0.0251,0.01883,0.0278,0.42,,Intrauterine
306,par,uter,mob,nomoob,Intrauterine risk factors,8.796,8.023,9.652,0.08796,0.08023,0.09652,2.24,,Intrauterine
315,par,uter,age,teen,Pre-pregnancy obesity,8.140,7.805,8.652,0.0814,0.07805,0.08652,0.57,0.44784,Intrauterine
307,par,uter,age,teen,Birth weight,1.847,1.283,2.664,0.01847,0.01283,0.02664,0.52,0.46937,Intrauterine
310,par,uter,age,teen,Gestational age,1.568,1.121,2.206,0.01568,0.01121,0.02206,0.54,0.46103,Intrauterine
313,par,uter,age,teen,Delivery mode,3.687,2.482,4.731,0.03687,0.02482,0.04731,0.71,0.39928,Intrauterine
314,par,uter,age,teen,Pregnancy complication,2.526,1.095,3.237,0.02526,0.01095,0.03237,0.46,0.49484,Intrauterine
316,par,uter,age,teen,Intrauterine risk factors,15.911,15.145,17.272,0.15911,0.15145,0.17272,1.75,0.18531,Intrauterine
1,par,gwt,age,child,Gestational weight gain†,17.313,15.855,19.256,0.17313,0.15855,0.19256,0.06,,Intrauterine
2,par,gwt,sex,female,Gestational weight gain†,18.521,16.236,20.148,0.18521,0.16236,0.20148,0,0.9627,Intrauterine
3,par,gwt,sex,male,Gestational weight gain†,18.772,16.233,21.058,0.18772,0.16233,0.21058,0,,Intrauterine
4,par,gwt,mob,moob,Gestational weight gain†,14.524,7.691,17.701,0.14524,0.07691,0.17701,0.01,0.88926,Intrauterine
5,par,gwt,mob,nomoob,Gestational weight gain†,13.360,11.633,15.030,0.1336,0.11633,0.1503,0.01,,Intrauterine
6,par,gwt,age,teen,Gestational weight gain†,18.897,17.087,21.402,0.18897,0.17087,0.21402,0.06,0.79973,Intrauterine
