Exposures,RR,RRLCI,RRUCI,P,Ptrend,PAR,LCI,UCI,Cat,,,Label,PAR,LCI,UCI,category,
Sedentary time Q2 vs. Q1,1.22,0.98,1.52,,0.08,0.089,,,,,,,,,,,
Sedentary time Q3 vs. Q1,1.24,0.99,1.56,,0.057,,,,,,,,,,,,
Sedentary time Q4 vs. Q1,1.22,1.01,1.49,,0.044,,,,,,,,,,,,
"Physical activity time Q1 vs, Q4",1.32,1.13,1.55,**,0.001,0.002,,,,,,,,,,,
Physical activity time Q2 vs. Q4,1.09,0.92,1.28,**,0.323,,,,,,,,,,,,
Physical activity time Q3 vs. Q4,1.02,0.85,1.23,**,0.816,,,,,,,,,,,,
Paternal education high school and below vs. graduate school,1.46,1.24,1.73,***,0.0001,0.0001,,,,,,,,,,,
Paternal education college vs. graduate school,1.19,1.04,1.36,***,0.011,,,,,,,,,,,,
Household income <50 k vs. >=150 k,1.32,1.06,1.64,**,0.012,0.005,,,,,,,,,,,
Household income 50-99 k vs. >=150 k,1.22,0.96,1.56,**,0.096,,,,,,,,,,,,
Household income 100-149 k vs. >=150 k,1.08,0.86,1.34,**,0.508,,4,,,,,,,,,,
Neighborhood SES score Q1 vs. Q4,1.56,1.29,1.89,***,0.0001,0.0001,3.8,,,,,,,,,,
Neighborhood SES score Q2 vs. Q4,1.4,1.16,1.68,***,0.0004,,3.6,,,,,,,,,,
Neighborhood SES score Q3 vs. Q4,1.23,1.03,1.48,***,0.026,,3.4,,,,,,,,,,
Maternal obserivy vs. no obesity,3.17,2.73,3.69,***,0.0001,0.0001,3.2,,,,,,,,,,
Maternal Western diet score Q2 vs. Q1,1.08,0.9,1.31,**,0.386,0.0004,3,,,,,,,,,,
Maternal Western diet score Q3 vs. Q1,1.17,0.95,1.42,**,0.133,,2.8,,,,,,,,,,
Maternal Western diet score Q4 vs. Q1,1.48,1.2,1.84,**,0.0004,,2.6,,,,,,,,,,
Maternal physical activity Q1 vs. Q4,1.43,1.21,1.69,***,0.0001,0.0001,2.4,,,,,,,,,,
Maternal physical activity Q2 vs. Q4,1.33,1.12,1.58,***,0.001,,2.2,,,,,,,,,,
Maternal physical activity Q3 vs. Q4,1.21,1.02,1.45,***,0.029,,2,,,,,,,,,,
Maternal past smokers vs. never,1.17,1.03,1.34,*,0.017,,1.8,,,,,,,,,,
Maternal current smokers vs. never,1.44,1.14,1.81,**,0.003,,1.6,,,,,,,,,,
Maternal night shift hours Q2 vs. Q1,1.19,1.02,1.4,*,0.029,0.043,1.4,,,,,,,,,,
Maternal night shift hours Q3 vs. Q1,1.19,1.01,1.4,*,0.042,,1.2,,,,,,,,,,
Maternal night shift hours Q4 vs. Q1,1.22,1.05,1.42,*,0.009,,1,,,,,,,,,,
Maternal pre-pregnancy obesity vs. no obesity,3.5,2.91,4.2,***,0.0001,0.0001,0.8,,,,,,,,,,
Birth weight <=2.5 kg vs. 2.6-4.4 kg,1.09,0.78,1.53,,0.596,,0.6,,,,,,,,,,
Birth weight >=4.5 kg vs. 2.6-4.4 kg,1.51,1.16,1.95,**,0.002,,0.4,,,,,,,,,,
Gestational week <37 weeks vs. 37-42 weeks,0.91,0.67,1.24,,0.551,,0.2,,,,,,,,,,
Gestational week  >=43 week vs. 37-42 weeks,1.31,1.05,1.65,*,0.019,,0,,,,,,,,,,
Born by cesarean section vs. vaginal delivery,1.23,1.06,1.42,**,0.009,,,,,,,,,,,,
Maternal pregnancy complication vs. no complication,1.32,1.11,1.58,**,0.002,,,,,,,,,,,,
Maternal excess gestational weight gain vs. normal gain†,1.68,1.43,1.97,***,0.0001,,,,,,,,,,,,
