,parameter,exposure,group,subgroup,RR,LCI,UCI,Q_stat,p_het,category,mod
57,rr,Sedentary time Q4 vs. Q1,age,teen,1.274,1.02868,1.57781,10.99,0.00091,Personal,life
58,rr,"Physical activity Q1 vs, Q4",age,teen,1.28088,1.07102,1.53186,0.17,0.67887,Personal,life
59,rr,Physical activity Q2 vs. Q4,age,teen,1.08774,0.89738,1.31849,0.04,0.8352,Personal,life
60,rr,Physical activity Q3 vs. Q4,age,teen,1.05308,0.85227,1.30121,0.54,0.45984,Personal,life
127,rr,Neighborhood SES Q1 vs. Q4,age,child,1.98046,1.23935,3.16473,1.17,,Social,socio
128,rr,Neighborhood SES Q2 vs. Q4,age,child,1.4942,0.95863,2.32899,0.09,,Social,socio
129,rr,Neighborhood SES Q3 vs. Q4,age,child,1.29472,0.79044,2.12071,0.04,,Social,socio
130,rr,Neighborhood SES Q1 vs. Q4,sex,female,1.6507,1.23818,2.20065,0.2,0.6476,Social,socio
131,rr,Neighborhood SES Q2 vs. Q4,sex,female,1.55072,1.17365,2.04893,0.79,0.37328,Social,socio
132,rr,Neighborhood SES Q3 vs. Q4,sex,female,1.25598,0.94504,1.66923,0.01,0.89187,Social,socio
133,rr,Neighborhood SES Q1 vs. Q4,sex,male,1.50302,1.12134,2.01462,0.2,,Social,socio
134,rr,Neighborhood SES Q2 vs. Q4,sex,male,1.29943,0.98141,1.72052,0.79,,Social,socio
135,rr,Neighborhood SES Q3 vs. Q4,sex,male,1.22315,0.94305,1.58644,0.01,,Social,socio
136,rr,Neighborhood SES Q1 vs. Q4,mob,moob,1.63691,1.1206,2.3911,0.79,0.37391,Social,socio
137,rr,Neighborhood SES Q2 vs. Q4,mob,moob,1.35091,0.92485,1.97323,0,0.9265,Social,socio
138,rr,Neighborhood SES Q3 vs. Q4,mob,moob,1.34413,0.90102,2.00516,0.38,0.53755,Social,socio
139,rr,Neighborhood SES Q1 vs. Q4,mob,nomoob,1.3393,1.0592,1.69345,0.79,,Social,socio
140,rr,Neighborhood SES Q2 vs. Q4,mob,nomoob,1.32365,1.06916,1.63872,0,,Social,socio
141,rr,Neighborhood SES Q3 vs. Q4,mob,nomoob,1.16794,0.94939,1.4368,0.38,,Social,socio
142,rr,Neighborhood SES Q1 vs. Q4,age,teen,1.49319,1.21448,1.83586,1.17,0.27762,Social,socio
143,rr,Neighborhood SES Q2 vs. Q4,age,teen,1.38173,1.12522,1.69673,0.09,0.75341,Social,socio
144,rr,Neighborhood SES Q3 vs. Q4,age,teen,1.21961,0.99663,1.49249,0.04,0.82471,Social,socio
149,rr,Paternal education high school and below vs. graduate school,age,child,1.858,1.17458,2.93907,1.29,,Social,socio
150,rr,Paternal education college vs. graduate school,age,child,1.4075,0.96315,2.05685,0.93,,Social,socio
151,rr,Household income <50 k vs. >=150 k,age,child,1.31949,0.7136,2.43981,0,,Social,socio
152,rr,Household income 50-99 k vs. >=150 k,age,child,1.28052,0.79962,2.05063,0.03,,Social,socio
153,rr,Household income 100-149 k vs. >=150 k,age,child,1.12582,0.67384,1.88096,0.03,,Social,socio
154,rr,Paternal education high school and below vs. graduate school,sex,female,1.56698,1.22235,2.00877,0.48,0.48433,Social,socio
155,rr,Paternal education college vs. graduate school,sex,female,1.23076,0.98725,1.53433,0.16,0.68861,Social,socio
