,parameter,exposure,group,subgroup,RR,LCI,UCI,Q_stat,p_het,category,mod
57,rr,Sedentary time Q4 vs. Q1,age,teen,1.31937,1.09511,1.58955,9.96,0.00159,Personal,life
58,rr,"Physical activity Q1 vs, Q4",age,teen,1.3167,1.1245,1.54177,0,0.9804,Personal,life
59,rr,Physical activity Q2 vs. Q4,age,teen,1.12694,0.95297,1.33267,0.02,0.87307,Personal,life
60,rr,Physical activity Q3 vs. Q4,age,teen,1.07712,0.88239,1.31482,1.41,0.23423,Personal,life
127,rr,Neighborhood SES Q1 vs. Q4,age,child,1.96859,1.23559,3.13643,1.07,,Social,socio
128,rr,Neighborhood SES Q2 vs. Q4,age,child,1.58842,0.97522,2.58718,0.33,,Social,socio
129,rr,Neighborhood SES Q3 vs. Q4,age,child,1.37556,0.89072,2.12433,0.34,,Social,socio
130,rr,Neighborhood SES Q1 vs. Q4,sex,female,1.58206,1.18982,2.10362,0.01,0.91295,Social,socio
131,rr,Neighborhood SES Q2 vs. Q4,sex,female,1.43271,1.09937,1.86713,0.05,0.81552,Social,socio
132,rr,Neighborhood SES Q3 vs. Q4,sex,female,1.19185,0.859,1.65368,0.04,0.8262,Social,socio
133,rr,Neighborhood SES Q1 vs. Q4,sex,male,1.54983,1.22024,1.96844,0.01,,Social,socio
134,rr,Neighborhood SES Q2 vs. Q4,sex,male,1.37494,1.09998,1.71861,0.05,,Social,socio
135,rr,Neighborhood SES Q3 vs. Q4,sex,male,1.24407,1.0029,1.54322,0.04,,Social,socio
136,rr,Neighborhood SES Q1 vs. Q4,mob,moob,1.58955,1.1065,2.28346,0.52,0.46966,Social,socio
137,rr,Neighborhood SES Q2 vs. Q4,mob,moob,1.35606,0.943,1.95006,0.01,0.89681,Social,socio
138,rr,Neighborhood SES Q3 vs. Q4,mob,moob,1.42696,1.00328,2.02956,1.24,0.26384,Social,socio
139,rr,Neighborhood SES Q1 vs. Q4,mob,nomoob,1.35937,1.08286,1.70648,0.52,,Social,socio
140,rr,Neighborhood SES Q2 vs. Q4,mob,nomoob,1.31977,1.08819,1.60064,0.01,,Social,socio
141,rr,Neighborhood SES Q3 vs. Q4,mob,nomoob,1.12972,0.91355,1.39704,1.24,,Social,socio
142,rr,Neighborhood SES Q1 vs. Q4,age,teen,1.49924,1.18546,1.89608,1.07,0.30001,Social,socio
143,rr,Neighborhood SES Q2 vs. Q4,age,teen,1.36365,1.1288,1.64736,0.33,0.56226,Social,socio
144,rr,Neighborhood SES Q3 vs. Q4,age,teen,1.19158,0.97995,1.44892,0.34,0.55428,Social,socio
149,rr,Paternal education high school and below vs. graduate school,age,child,1.77039,1.12991,2.77393,0.84,,Social,socio
150,rr,Paternal education college vs. graduate school,age,child,1.40315,0.94438,2.0848,0.35,,Social,socio
151,rr,Household income <50 k vs. >=150 k,age,child,1.31814,0.73295,2.37057,0.03,,Social,socio
152,rr,Household income 50-99 k vs. >=150 k,age,child,1.24531,0.71986,2.15431,0,,Social,socio
153,rr,Household income 100-149 k vs. >=150 k,age,child,1.16964,0.685,1.99717,0,,Social,socio
154,rr,Paternal education high school and below vs. graduate school,sex,female,1.5132,1.14664,1.99696,0.12,0.72028,Social,socio
155,rr,Paternal education college vs. graduate school,sex,female,1.24645,0.95893,1.62018,0,0.92463,Social,socio
156,rr,Household income <50 k vs. >=150 k,sex,female,1.44782,0.99803,2.10031,0.07,0.78799,Social,socio
