analysis,Parm,mod,group,RR,UCI,LCI,exposure
unadjusted,chmopaq2,ch,mom,1.24,2.64,0.58,Maternal physical activity Q3 vs. Q4
unadjusted,mosmkv_ch,ch,mom,1.15,2.08,0.63,Maternal smoking Ever vs. Never
unadjusted,moshiftb_ch,ch,mom,1.36,2.03,0.9,Maternal Shiftwork Some vs. None
unadjusted,adolmowestq1,adol,mom,1.11,2.07,0.6,Maternal Western Diet Q2 vs. Q1
unadjusted,adolmowestq2,adol,mom,1.16,2.69,0.5,Maternal Western Diet Q3 vs. Q1
unadjusted,adolmowestq3,adol,mom,1.07,2.47,0.47,Maternal Western Diet Q4 vs. Q1
unadjusted,adolmopaq0,adol,mom,1.8,3.72,0.87,Maternal physical activity Q1 vs. Q4
unadjusted,adolmopaq1,adol,mom,1.76,3.04,1.02,Maternal physical activity Q2 vs. Q4
unadjusted,adolmopaq2,adol,mom,1.21,2.25,0.65,Maternal physical activity Q3 vs. Q4
unadjusted,mosmkv_adol,adol,mom,1.15,2.05,0.65,Maternal smoking Ever vs. Never
unadjusted,moshiftb_adol,adol,mom,1.14,1.93,0.67,Maternal Shiftwork Some vs. None
adjusted,pregmowestq1,preg,mom,1.19,2.27,0.62,Maternal Western Diet Q2 vs. Q1
adjusted,pregmowestq2,preg,mom,1.28,2.53,0.65,Maternal Western Diet Q3 vs. Q1
adjusted,pregmowestq3,preg,mom,1.03,2.69,0.4,Maternal Western Diet Q4 vs. Q1
adjusted,pregmopaq0,preg,mom,1.73,3.3,0.91,Maternal physical activity Q1 vs. Q4
adjusted,pregmopaq1,preg,mom,1.4,2.88,0.68,Maternal physical activity Q2 vs. Q4
adjusted,pregmopaq2,preg,mom,1.2,2.33,0.62,Maternal physical activity Q3 vs. Q4
adjusted,mosmkv_preg,preg,mom,1.13,2.16,0.6,Maternal smoking Ever vs. Never
adjusted,moshiftb_preg,preg,mom,1.3,2.13,0.79,Maternal Shiftwork Some vs. None
adjusted,earlychmowestq1,earlych,mom,1.1,2.22,0.54,Maternal Western Diet Q2 vs. Q1
adjusted,earlychmowestq2,earlych,mom,1.15,2.43,0.54,Maternal Western Diet Q3 vs. Q1
adjusted,earlychmowestq3,earlych,mom,1.15,3.42,0.38,Maternal Western Diet Q4 vs. Q1
adjusted,earlychmopaq0,earlych,mom,1.72,3.3,0.9,Maternal physical activity Q1 vs. Q4
adjusted,earlychmopaq1,earlych,mom,1.59,2.94,0.85,Maternal physical activity Q2 vs. Q4
adjusted,earlychmopaq2,earlych,mom,1.24,2.39,0.65,Maternal physical activity Q3 vs. Q4
adjusted,mosmkv_earlych,earlych,mom,1.1,2.09,0.58,Maternal smoking Ever vs. Never
adjusted,moshiftb_earlych,earlych,mom,1.37,2.13,0.89,Maternal Shiftwork Some vs. None
adjusted,chmowestq1,ch,mom,1.37,2.57,0.73,Maternal Western Diet Q2 vs. Q1
adjusted,chmowestq2,ch,mom,1,2.28,0.44,Maternal Western Diet Q3 vs. Q1
adjusted,chmowestq3,ch,mom,1.22,3.42,0.44,Maternal Western Diet Q4 vs. Q1
adjusted,chmopaq0,ch,mom,1.43,2.71,0.75,Maternal physical activity Q1 vs. Q4
adjusted,chmopaq1,ch,mom,1.69,3.69,0.78,Maternal physical activity Q2 vs. Q4
adjusted,chmopaq2,ch,mom,1.26,2.62,0.61,Maternal physical activity Q3 vs. Q4
adjusted,mosmkv_ch,ch,mom,1.15,2.07,0.64,Maternal smoking Ever vs. Never
adjusted,moshiftb_ch,ch,mom,1.21,1.91,0.76,Maternal Shiftwork Some vs. None
adjusted,adolmowestq1,adol,mom,1.03,1.95,0.54,Maternal Western Diet Q2 vs. Q1
adjusted,adolmowestq2,adol,mom,1,2.36,0.43,Maternal Western Diet Q3 vs. Q1
adjusted,adolmowestq3,adol,mom,0.84,2.09,0.34,Maternal Western Diet Q4 vs. Q1
adjusted,adolmopaq0,adol,mom,1.43,3.72,0.55,Maternal physical activity Q1 vs. Q4
adjusted,adolmopaq1,adol,mom,1.5,2.88,0.78,Maternal physical activity Q2 vs. Q4
adjusted,adolmopaq2,adol,mom,1.07,2.07,0.55,Maternal physical activity Q3 vs. Q4
adjusted,mosmkv_adol,adol,mom,1.13,2.04,0.62,Maternal smoking Ever vs. Never
adjusted,moshiftb_adol,adol,mom,0.97,1.81,0.52,Maternal Shiftwork Some vs. None
unadjusted,moob_preg,preg,mom,2.14,3.97,1.16,Maternal Obesity
unadjusted,moob_earlych,earlych,mom,2.78,5.16,1.49,Maternal Obesity
unadjusted,moob_ch,ch,mom,2.75,5.1,1.49,Maternal Obesity
unadjusted,moob_adol,adol,mom,2.88,4.29,1.93,Maternal Obesity
