analysis,Parm,mod,group,RR,UCI,LCI,Probt,exposure,cases,total
unadjusted,pregmopaq0,preg,mom,1.727,3.297,0.905,0.095,Maternal physical activity Q1 vs. Q4,125,2018
unadjusted,pregmopaq1,preg,mom,1.398,2.875,0.68,0.351,Maternal physical activity Q2 vs. Q4,125,2018
unadjusted,pregmopaq2,preg,mom,1.2,2.325,0.62,0.582,Maternal physical activity Q3 vs. Q4,125,2018
unadjusted,mosmkv_preg,preg,mom,1.134,2.156,0.597,0.678,Maternal smoking Ever vs. Never,125,2018
unadjusted,moshiftb_preg,preg,mom,1.298,2.135,0.79,0.294,Maternal Shiftwork Some vs. None,125,2018
unadjusted,earlychmowestq1,earlych,mom,1.187,2.228,0.633,0.59,Maternal Western Diet Q2 vs. Q1,125,2018
unadjusted,earlychmowestq2,earlych,mom,1.329,2.637,0.67,0.416,Maternal Western Diet Q3 vs. Q1,125,2018
unadjusted,earlychmowestq3,earlych,mom,1.466,3.676,0.584,0.407,Maternal Western Diet Q4 vs. Q1,125,2018
unadjusted,earlychmopaq0,earlych,mom,1.454,2.696,0.784,0.231,Maternal physical activity Q1 vs. Q4,125,2018
unadjusted,earlychmopaq1,earlych,mom,1.338,2.419,0.74,0.331,Maternal physical activity Q2 vs. Q4,125,2018
unadjusted,earlychmopaq2,earlych,mom,1.102,2.015,0.603,0.749,Maternal physical activity Q3 vs. Q4,125,2018
unadjusted,mosmkv_earlych,earlych,mom,1.099,2.097,0.576,0.756,Maternal smoking Ever vs. Never,125,2018
unadjusted,moshiftb_earlych,earlych,mom,1.423,2.1,0.964,0.076,Maternal Shiftwork Some vs. None,125,2018
unadjusted,chmowestq1,ch,mom,1.545,2.834,0.842,0.16,Maternal Western Diet Q2 vs. Q1,125,2018
unadjusted,chmowestq2,ch,mom,1.26,2.833,0.56,0.572,Maternal Western Diet Q3 vs. Q1,125,2018
unadjusted,chmowestq3,ch,mom,1.84,4.426,0.765,0.171,Maternal Western Diet Q4 vs. Q1,125,2018
unadjusted,chmopaq0,ch,mom,1.437,2.753,0.75,0.268,Maternal physical activity Q1 vs. Q4,125,2018
unadjusted,chmopaq1,ch,mom,1.668,3.586,0.776,0.177,Maternal physical activity Q2 vs. Q4,125,2018
unadjusted,chmopaq2,ch,mom,1.238,2.641,0.58,0.566,Maternal physical activity Q3 vs. Q4,125,2018
unadjusted,mosmkv_ch,ch,mom,1.146,2.076,0.632,0.633,Maternal smoking Ever vs. Never,125,2018
unadjusted,moshiftb_ch,ch,mom,1.356,2.034,0.905,0.14,Maternal Shiftwork Some vs. None,125,2018
unadjusted,adolmowestq1,adol,mom,1.111,2.069,0.597,0.737,Maternal Western Diet Q2 vs. Q1,125,2018
unadjusted,adolmowestq2,adol,mom,1.161,2.691,0.5,0.716,Maternal Western Diet Q3 vs. Q1,125,2018
unadjusted,adolmowestq3,adol,mom,1.073,2.471,0.466,0.866,Maternal Western Diet Q4 vs. Q1,125,2018
unadjusted,adolmopaq0,adol,mom,1.797,3.721,0.868,0.111,Maternal physical activity Q1 vs. Q4,125,2018
unadjusted,adolmopaq1,adol,mom,1.758,3.041,1.017,0.043,Maternal physical activity Q2 vs. Q4,125,2018
unadjusted,adolmopaq2,adol,mom,1.21,2.254,0.649,0.546,Maternal physical activity Q3 vs. Q4,125,2018
unadjusted,mosmkv_adol,adol,mom,1.151,2.05,0.646,0.613,Maternal smoking Ever vs. Never,125,2018
