analysis,Parm,mod,group,RR,UCI,LCI,exposure
unadjusted,chmopaq2,ch,mom,1.4,2.54,0.77,Maternal physical activity Q3 vs. Q4
unadjusted,mosmkv_ch,ch,mom,1.05,1.68,0.66,Maternal smoking Ever vs. Never
unadjusted,moshiftb_ch,ch,mom,1.32,2.02,0.86,Maternal Shiftwork Some vs. None
unadjusted,adolmowestq1,adol,mom,1.24,2.19,0.7,Maternal Western Diet Q2 vs. Q1
unadjusted,adolmowestq2,adol,mom,1.18,2.25,0.62,Maternal Western Diet Q3 vs. Q1
unadjusted,adolmowestq3,adol,mom,1.07,2.33,0.49,Maternal Western Diet Q4 vs. Q1
unadjusted,adolmopaq0,adol,mom,2,4.28,0.93,Maternal physical activity Q1 vs. Q4
unadjusted,adolmopaq1,adol,mom,1.86,3.55,0.98,Maternal physical activity Q2 vs. Q4
unadjusted,adolmopaq2,adol,mom,1.48,2.73,0.8,Maternal physical activity Q3 vs. Q4
unadjusted,mosmkv_adol,adol,mom,1.08,1.72,0.68,Maternal smoking Ever vs. Never
unadjusted,moshiftb_adol,adol,mom,0.92,1.49,0.57,Maternal Shiftwork Some vs. None
adjusted,pregmowestq1,preg,mom,1.23,2.52,0.6,Maternal Western Diet Q2 vs. Q1
adjusted,pregmowestq2,preg,mom,1.12,2.24,0.56,Maternal Western Diet Q3 vs. Q1
adjusted,pregmowestq3,preg,mom,0.94,2.15,0.41,Maternal Western Diet Q4 vs. Q1
adjusted,pregmopaq0,preg,mom,1.75,3.49,0.88,Maternal physical activity Q1 vs. Q4
adjusted,pregmopaq1,preg,mom,1.33,2.67,0.66,Maternal physical activity Q2 vs. Q4
adjusted,pregmopaq2,preg,mom,1.01,2.33,0.43,Maternal physical activity Q3 vs. Q4
adjusted,mosmkv_preg,preg,mom,1.09,1.76,0.68,Maternal smoking Ever vs. Never
adjusted,moshiftb_preg,preg,mom,1.12,1.87,0.67,Maternal Shiftwork Some vs. None
adjusted,earlychmowestq1,earlych,mom,1.12,2.3,0.55,Maternal Western Diet Q2 vs. Q1
adjusted,earlychmowestq2,earlych,mom,1.08,2.72,0.43,Maternal Western Diet Q3 vs. Q1
adjusted,earlychmowestq3,earlych,mom,1.05,3.36,0.33,Maternal Western Diet Q4 vs. Q1
adjusted,earlychmopaq0,earlych,mom,1.8,3.75,0.86,Maternal physical activity Q1 vs. Q4
adjusted,earlychmopaq1,earlych,mom,1.56,3.24,0.75,Maternal physical activity Q2 vs. Q4
adjusted,earlychmopaq2,earlych,mom,1.11,2.24,0.55,Maternal physical activity Q3 vs. Q4
adjusted,mosmkv_earlych,earlych,mom,1.06,1.7,0.66,Maternal smoking Ever vs. Never
adjusted,moshiftb_earlych,earlych,mom,1.43,2.62,0.78,Maternal Shiftwork Some vs. None
adjusted,chmowestq1,ch,mom,1.72,4.1,0.72,Maternal Western Diet Q2 vs. Q1
adjusted,chmowestq2,ch,mom,1.16,3.09,0.44,Maternal Western Diet Q3 vs. Q1
adjusted,chmowestq3,ch,mom,1.38,4.57,0.41,Maternal Western Diet Q4 vs. Q1
adjusted,chmopaq0,ch,mom,1.58,2.92,0.86,Maternal physical activity Q1 vs. Q4
adjusted,chmopaq1,ch,mom,1.62,2.87,0.91,Maternal physical activity Q2 vs. Q4
adjusted,chmopaq2,ch,mom,1.44,2.58,0.8,Maternal physical activity Q3 vs. Q4
adjusted,mosmkv_ch,ch,mom,1.05,1.67,0.66,Maternal smoking Ever vs. Never
adjusted,moshiftb_ch,ch,mom,1.18,1.98,0.7,Maternal Shiftwork Some vs. None
adjusted,adolmowestq1,adol,mom,1.16,2.13,0.63,Maternal Western Diet Q2 vs. Q1
adjusted,adolmowestq2,adol,mom,1.06,2.16,0.52,Maternal Western Diet Q3 vs. Q1
adjusted,adolmowestq3,adol,mom,0.88,2.28,0.34,Maternal Western Diet Q4 vs. Q1
adjusted,adolmopaq0,adol,mom,1.81,4.46,0.73,Maternal physical activity Q1 vs. Q4
adjusted,adolmopaq1,adol,mom,1.76,3.79,0.82,Maternal physical activity Q2 vs. Q4
adjusted,adolmopaq2,adol,mom,1.41,2.84,0.7,Maternal physical activity Q3 vs. Q4
adjusted,mosmkv_adol,adol,mom,1.05,1.67,0.66,Maternal smoking Ever vs. Never
adjusted,moshiftb_adol,adol,mom,0.79,1.31,0.48,Maternal Shiftwork Some vs. None
unadjusted,moob_preg,preg,mom,1.94,3.69,1.02,Maternal Obesity
unadjusted,moob_earlych,earlych,mom,2.86,4.54,1.8,Maternal Obesity
unadjusted,moob_ch,ch,mom,3.27,5.34,2,Maternal Obesity
unadjusted,moob_adol,adol,mom,3.2,4.85,2.12,Maternal Obesity
adjusted,moob_preg,preg,mom,1.94,3.69,1.02,Maternal Obesity
adjusted,moob_earlych,earlych,mom,3.8,8.1,1.78,Maternal Obesity
adjusted,moob_ch,ch,mom,3.36,7.23,1.56,Maternal Obesity
adjusted,moob_adol,adol,mom,2.08,4.45,0.97,Maternal Obesity
unadjusted,pregsesq0,preg,socio,1.24,2.09,0.74,nSES Q1 vs. Q4
unadjusted,pregsesq1,preg,socio,1.16,1.9,0.71,nSES Q2 vs. Q4
unadjusted,pregsesq2,preg,socio,0.94,1.6,0.55,nSES Q3 vs. Q4
unadjusted,earlychsesq0,earlych,socio,1.4,2.44,0.81,nSES Q1 vs. Q4
unadjusted,earlychsesq1,earlych,socio,1.22,2.02,0.73,nSES Q2 vs. Q4
