"","parameter","exposure","mod","group","subgroup","RR","LCI","UCI","Q_stat","p_het"
"24","rr","chpaq2","life","sex","female",1.07192,0.82349,1.3953,"0.20",0.65414
"25","rr","chwestq1","life","sex","male",1.04093,0.83221,1.302,"0.46",0.49518
"26","rr","chwestq2","life","sex","male",1.21633,0.95026,1.5569,"0.52",0.46916
"27","rr","chwestq3","life","sex","male",1.28588,0.96319,1.71668,"3.40",0.06481
"28","rr","chstq1","life","sex","male",1.40186,1.02641,1.91464,"1.50",0.22021
"29","rr","chstq2","life","sex","male",1.37552,1.01878,1.85719,"0.75",0.38361
"30","rr","chstq3","life","sex","male",1.34824,1.02952,1.76562,"0.66",0.41449
"31","rr","chpaq0","life","sex","male",1.24637,1.00907,1.53948,"0.54",0.46177
"32","rr","chpaq1","life","sex","male",1.10023,0.8436,1.43493,"0.03",0.84736
"33","rr","chpaq2","life","sex","male",0.98894,0.7749,1.26209,"0.20",0.65414
"34","rr","chwestq1","life","mob","moob",0.8677,0.62059,1.21321,"2.26",0.13259
"35","rr","chwestq2","life","mob","moob",1.04476,0.73637,1.48232,"1.37",0.24058
"36","rr","chwestq3","life","mob","moob",1.38691,0.94037,2.04551,"0.09",0.75873
"37","rr","chstq1","life","mob","moob",1.40207,0.9869,1.99188,"0.88",0.34818
"38","rr","chstq2","life","mob","moob",1.65895,1.17208,2.34804,"3.76",0.05235
"39","rr","chstq3","life","mob","moob",1.40482,0.96317,2.04899,"0.95",0.32967
"40","rr","chpaq0","life","mob","moob",1.10899,0.82658,1.48789,"1.70",0.19209
"41","rr","chpaq1","life","mob","moob",1.00158,0.74951,1.33842,"0.37",0.54112
"42","rr","chpaq2","life","mob","moob",1.03542,0.73096,1.4667,"0.01",0.91569
"43","rr","chwestq1","life","mob","nomoob",1.16266,0.96374,1.40264,"2.26",0.13259
"44","rr","chwestq2","life","mob","nomoob",1.33284,1.07716,1.6492,"1.37",0.24058
"45","rr","chwestq3","life","mob","nomoob",1.49107,1.15216,1.92966,"0.09",0.75873
