Parm,NImpute,Estimate,StdErr,LCLMean,UCLMean,DF,Min,Max,Theta0,tValue,Probt,mod,RR,LCI,UCI
INTERCEPT,5,-6.557999,0.388040,-7.35588,-5.76012,25.832,-6.823759,-6.231881,0,-16.90,<.0001,food,0.0014187214,0.0006388249,0.003150739
desertq1,5,0.003672,0.108333,-0.21381,0.22116,51.021,-0.049935,0.090649,0,0.03,0.9731,food,1.0036785231,0.8074996238,1.2475183244
desertq2,5,0.065811,0.112490,-0.16254,0.29416,35.081,0.017900,0.168687,0,0.59,0.5623,food,1.0680244466,0.8499836946,1.3419977651
desertq3,5,-0.022242,0.120098,-0.26705,0.22257,31.423,-0.117961,0.060238,0,-0.19,0.8543,food,0.9780036958,0.765634873,1.2492785564
sesq0,5,0.092729,0.133661,-0.18732,0.37278,18.712,-0.008450,0.218084,0,0.69,0.4964,food,1.0971638696,0.829178829,1.4517598794
sesq1,5,0.078044,0.111244,-0.14398,0.30007,67.308,0.032812,0.135885,0,0.70,0.4854,food,1.0811702491,0.8659039778,1.3499523476
sesq2,5,0.058373,0.114232,-0.17352,0.29026,35.055,-0.007884,0.134710,0,0.51,0.6126,food,1.0601100404,0.8407031401,1.3367778043
heduc1,5,0.352828,0.111166,0.13162,0.57404,80.372,0.306758,0.425748,0,3.17,0.0021,food,1.4230860981,1.1406709904,1.7754234655
heduc2,5,0.115528,0.085685,-0.05661,0.28767,49.614,0.077507,0.161077,0,1.35,0.1837,food,1.1224662726,0.9449636612,1.3333110942
fincome1,5,0.028020,0.155856,-0.29316,0.34920,24.709,-0.119579,0.108082,0,0.18,0.8588,food,1.0284158872,0.7459000866,1.417936874
fincome2,5,0.038194,0.110092,-0.18224,0.25862,57.316,-0.042712,0.080676,0,0.35,0.7299,food,1.0389326632,0.8334054052,1.2951452822
fincome3,5,0.022291,0.111378,-0.19805,0.24263,130.46,-0.038229,0.057820,0,0.20,0.8417,food,1.0225415572,0.8203292791,1.2745994358
midwest,5,0.030912,0.084037,-0.13677,0.19859,68.334,-0.006132,0.080186,0,0.37,0.7141,food,1.0313948833,0.8721739624,1.2196825992
south,5,-0.109815,0.115269,-0.33933,0.11970,77.306,-0.161288,-0.042030,0,-0.95,0.3437,food,0.896000275,0.7122477637,1.1271590221
west,5,-0.315186,0.118601,-0.55124,-0.07913,79.33,-0.372888,-0.249461,0,-2.66,0.0095,food,0.7296528021,0.5762346995,0.9239173066
chage,5,0.241546,0.016767,0.20819,0.27490,81.839,0.233983,0.250211,0,14.41,<.0001,food,1.2732162882,1.2314484096,1.3164008364
white,5,-0.169793,0.186479,-0.54947,0.20989,32.354,-0.338576,-0.072166,0,-0.91,0.3693,food,0.8438396754,0.5772531315,1.2335409874
sex,5,-0.392716,0.080805,-0.56086,-0.22457,20.798,-0.444556,-0.314801,0,-4.86,<.0001,food,0.6752204781,0.5707193066,0.7988562656
INTERCEPT,5,-5.938405,0.383586,-6.71662,-5.16019,35.647,-6.233934,-5.751799,0,-15.48,<.0001,food,0.0026362321,0.001210623,0.0057406143
desert_m,5,-0.000760,0.015513,-0.03182,0.03030,57.713,-0.011818,0.008410,0,-0.05,0.9611,food,0.9992401626,0.9686846969,1.0307594471
ses_m,5,-0.013445,0.016398,-0.04748,0.02059,21.679,-0.028114,-0.001705,0,-0.82,0.4212,food,0.9866454079,0.9536284596,1.0208054836
husbeduc,5,-0.167999,0.056668,-0.28117,-0.05483,65.044,-0.205810,-0.142264,0,-2.96,0.0042,food,0.8453547238,0.7548989261,0.9466493915
income,5,-0.009638,0.044920,-0.10112,0.08184,32.179,-0.028151,0.031622,0,-0.21,0.8315,food,0.9904082182,0.9038274559,1.0852828516
midwest,5,0.023506,0.084666,-0.14572,0.19273,62.314,-0.016491,0.075454,0,0.28,0.7822,food,1.0237845995,0.8643977548,1.2125608846
south,5,-0.127350,0.114223,-0.35488,0.10018,75.356,-0.174935,-0.053565,0,-1.11,0.2684,food,0.880425703,0.701260113,1.1053664742
west,5,-0.330812,0.115621,-0.56053,-0.10109,89.435,-0.389466,-0.263408,0,-2.86,0.0053,food,0.7183399552,0.5709049079,0.9038498078
chage,5,0.241348,0.016788,0.20794,0.27476,79.988,0.233858,0.249967,0,14.38,<.0001,food,1.2729640634,1.2311381434,1.3162109511
white,5,-0.165348,0.187690,-0.54821,0.21751,30.874,-0.336589,-0.064170,0,-0.88,0.3851,food,0.8475984647,0.5779845447,1.2429798754
sex,5,-0.392392,0.080778,-0.56048,-0.22430,20.787,-0.444336,-0.314538,0,-4.86,<.0001,food,0.6754391929,0.5709323471,0.7990755921
