_TYPE_,_NAME_,gotweight,chob,chbmi,bmibpreg,abwt,gweek,prev_preg,incom01,income,Comp_Gesdbg,Comp_prghtng,Comp_peclmpg,Delivery,pregcomp,pregcomp2,husbeduc,mosmk,agebirth,chwest,chcal,chst,chpa,moage,mowest,mocal,mopa,mobmi,moshift,ses,supermarket,restaurant,fastfood,convenience,foodswamp,supermarketz,restaurantz,fastfoodz,conveniencez,foodswampz,supermarketa,restauranta,fastfooda,conveniencea,foodswampa
CORR,income,-0.003281384,,-0.032082236,-0.072609098,0.0096146068,0.0199386093,0.0071229086,0.9596428105,1,-0.001992154,-0.009024753,-0.016631259,0.006934189,0.0060333986,-0.010506371,0.2754494129,-0.017397221,0.0755723108,-0.038470116,0.004793454,-0.01819843,0.0131929612,0.0698303392,-0.128922231,-0.060542172,0.0490818656,-0.096553364,-0.022474427,0.2847530602,-0.032401722,0.0010611468,-0.002167951,-0.058906513,-0.015642002,-0.031948881,0.001045376,-0.002203684,-0.0588628,-0.015314705,-0.031173923,0.000947669,-0.002251865,-0.058680623,-0.015504121
CORR,Comp_Gesdbg,0.0271934712,,-0.0000176,0.042838609,0.0544531414,0.0011314901,0.0067419775,-2.452959E-6,-0.001992154,1,0.0558316666,0.0605109977,0.0610677722,0.2765375264,0.516549074,0.0034585008,-0.006070583,0.025946669,0.0076122414,0.0030856413,0.0011313535,-0.011743179,0.0133224369,0.0344977236,0.0264196683,-0.019436019,0.0502065103,0.0037566209,-0.000212472,0.0031808083,0.0045738918,0.0018914508,0.0055711707,-0.001971479,0.0031079019,0.0047754647,0.0018596234,0.0054170359,-0.001547096,0.0029842117,0.0055519291,0.0018235992,0.0052282354,-0.001881335
CORR,Comp_prghtng,0.0971080111,,0.0138134549,0.0705761168,-0.05239862,-0.011257417,-0.051789837,-0.01123678,-0.009024753,0.0558316666,1,0.3463506306,0.0864539993,0.348279703,0.6505574864,0.0056417961,-0.013060678,-0.014117327,0.0124495813,-0.000961906,0.0181467264,-0.006919716,-0.016278303,0.00977421,0.0033122034,0.0164916179,0.0780901537,0.0112791946,-0.0051506,0.005081079,0.0058036579,0.0030624485,0.0043506191,-0.008052829,0.0053249278,0.0059411102,0.0030256582,0.0050092856,-0.007375435,0.0059147444,0.0066131838,0.0029834039,0.0059079949,-0.008123951
CORR,Comp_peclmpg,0.1349495376,,0.0338503702,0.070953234,-0.082419256,-0.038446825,-0.090078539,-0.019229439,-0.016631259,0.0605109977,0.3463506306,1,0.1178710797,0.3661259244,0.6838927421,-0.021815703,-0.003202848,-0.07911085,0.0124578019,0.0035752865,0.0285817572,0.0054485246,-0.069473759,0.018354126,0.015886766,0.0108302333,0.0873378906,0.0125813132,-0.025234144,0.0145661415,0.0026348735,0.0035412867,0.01098671,0.0073410038,0.0144772479,0.0025534011,0.0035012029,0.010787017,0.0071012186,0.0143109667,0.0023343808,0.0034556609,0.0105355755,0.007266486
CORR,Delivery,0.0866482064,,0.0220023315,0.1004912311,-0.062992093,-0.012023721,-0.014418357,0.0055471487,0.006934189,0.0610677722,0.0864539993,0.1178710797,1,0.8491249844,0.1282966923,-0.009178458,0.0213651217,0.0522151682,0.0013694662,-0.00670516,0.0158099475,-0.013770138,0.0328112269,-0.010892757,-0.021328053,-0.013970883,0.1064369082,-0.010572616,0.0231027225,0.0304525941,0.0251130628,0.0318884035,0.0120856186,-0.001817322,0.0302448248,0.0250449978,0.0318029606,0.0122341156,-0.002142424,0.029857254,0.0249034841,0.0317019491,0.0122849076,-0.001922889
CORR,pregcomp,0.1227268861,,0.0328331268,0.1190120045,-0.056823436,-0.010594569,-0.036020866,0.0054002679,0.0060333986,0.2765375264,0.348279703,0.3661259244,0.8491249844,1,0.5353557683,-0.006567082,0.0153645788,0.0289852112,0.0071044288,-0.004941982,0.0201611587,-0.01464687,0.0120718316,0.0029816941,-0.008836039,-0.008506972,0.1306075444,-0.001872556,0.0122597083,0.0247918624,0.0215582733,0.0257722989,0.0133946173,0.0018695587,0.0246897307,0.0215400245,0.0256673443,0.0135954985,0.0018337831,0.0245699057,0.0216711852,0.0255458792,0.0138060618,0.0017267349
CORR,pregcomp2,0.1335576133,,0.0319523833,0.0934733408,-0.041866551,-0.019937084,-0.075509998,-0.010679677,-0.010506371,0.516549074,0.6505574864,0.6838927421,0.1282966923,0.5353557683,1,-0.005174575,-0.006894407,-0.036581638,0.0127693585,-0.000956154,0.0188531263,-0.007779599,-0.036778085,0.026825451,0.0187203724,-0.000700613,0.1120256003,0.011912314,-0.017951098,0.0056062896,0.0037898694,-0.000453379,0.011325197,0.0022024572,0.005695301,0.0039619059,-0.000513663,0.0116150753,0.0028114607,0.0059654974,0.0047650935,-0.000581199,0.0120277573,0.0021763647
CORR,husbeduc,-0.00992674,,-0.051143378,-0.066698847,-0.003356315,0.002496351,0.0142763182,0.2694179918,0.2754494129,0.0034585008,0.0056417961,-0.021815703,-0.009178458,-0.006567082,-0.005174575,1,-0.068830511,0.198163894,-0.091149753,-0.005502158,-0.03365882,-0.018790978,0.1927685053,-0.112736748,0.0139914064,0.0452771082,-0.101170371,-0.001677075,0.2644043538,0.030867899,0.0781710547,0.0738436178,0.0099384055,-0.049310832,0.031372159,0.0784956076,0.0739604038,0.0107450145,-0.048744623,0.0321914742,0.0793713644,0.0740972569,0.0116608849,-0.049289383
CORR,mosmk,0.0755752823,,0.0441808533,0.0223582757,-0.003776578,0.0033753147,0.0532844365,-0.0178646,-0.017397221,-0.006070583,-0.013060678,-0.003202848,0.0213651217,0.0153645788,-0.006894407,-0.068830511,1,0.0649983906,0.0300098894,0.0207711375,0.0383309993,0.0490420461,0.0645194606,-0.021841807,-0.038683728,0.0241440538,0.027538434,0.0615907655,0.0237356506,0.0219181145,0.0375923882,0.0405885478,0.0322693448,-0.011547166,0.0217594573,0.037687519,0.0405679995,0.0325907211,-0.011006084,0.0214840854,0.037953737,0.0405267707,0.032760574,-0.011246704
CORR,agebirth,-0.01930182,,-0.078757784,0.0663924006,-0.009133101,-0.03597562,0.3820647842,0.0699868475,0.0755723108,0.025946669,-0.014117327,-0.07911085,0.0522151682,0.0289852112,-0.036581638,0.198163894,0.0649983906,1,-0.066688424,-0.026615536,-0.019651814,-0.066293908,0.8738570597,-0.123306532,-0.045734199,-0.059756527,0.0208758133,0.0141458625,0.2124099606,0.0714300041,0.094251153,0.076259825,0.0018467996,-0.074351483,0.0713740266,0.0941440292,0.0760633553,0.0017160943,-0.074921162,0.0711971299,0.0939706493,0.0758471959,0.0014667411,-0.074559449
CORR,chwest,-0.005150931,,-0.023301495,0.0159873553,-0.001156074,0.0043648185,-0.000371422,-0.031851449,-0.038470116,0.0076122414,0.0124495813,0.0124578019,0.0013694662,0.0071044288,0.0127693585,-0.091149753,0.0300098894,-0.066688424,1,0.7577268314,0.0834837443,0.1285232788,-0.063935511,0.2389332133,0.1243925009,-0.008692801,0.0476851506,0.032680472,-0.07472269,-0.026414575,-0.021409052,-0.021853288,0.015801795,0.016801462,-0.026513262,-0.021433268,-0.021818701,0.0157561237,0.0162098115,-0.026593106,-0.021495302,-0.021753994,0.0158149206,0.0162795859
