_TYPE_,_NAME_,gotweight,chob,chbmi,bmibpreg,abwt,gweek,prev_preg,incom01,income,Comp_Gesdbg,Comp_prghtng,Comp_peclmpg,Delivery,pregcomp,pregcomp2,husbeduc,mosmk,agebirth,chwest,chcal,chst,chpa,moage,mowest,mocal,mopa,mobmi,moshift,ses,supermarket,restaurant,fastfood,convenience,foodswamp,supermarketz,restaurantz,fastfoodz,conveniencez,foodswampz,supermarketa,restauranta,fastfooda,conveniencea,foodswampa
CORR,supermarket,0.0075319645,,-0.001098318,0.0201926222,-0.029688474,0.0028380909,0.0127004159,-0.03723534,-0.032401722,0.0031808083,0.005081079,0.0145661415,0.0304525941,0.0247918624,0.0056062896,0.030867899,0.0219181145,0.0714300041,-0.026414575,-0.016390948,0.0334340033,0.001165635,0.0703782494,-0.045437216,0.0033438719,0.0010260605,0.0231798776,-0.005633483,0.0998132337,1,0.6982654037,0.6726256889,0.40831217,-0.539709491,0.9997754686,0.6986447182,0.6728591209,0.4091072428,-0.54077657,0.9983100107,0.6988124349,0.6730269535,0.4091827586,-0.540005461
CORR,restaurant,0.0043525384,,-0.002832808,0.0025893214,-0.02488687,0.0017760149,0.0076873247,-0.001807192,0.0010611468,0.0045738918,0.0058036579,0.0026348735,0.0251130628,0.0215582733,0.0037898694,0.0781710547,0.0375923882,0.094251153,-0.021409052,0.0100547102,0.0397962627,-0.003619363,0.0948874399,-0.063220363,-0.00217808,-0.000969004,0.008498224,0.0043825701,0.2396864545,0.6982654037,1,0.8649158119,0.5111814263,-0.638250618,0.6983593884,0.9998859539,0.8648692939,0.5127087448,-0.640510737,0.6978056393,0.9981957863,0.8646703196,0.5134757687,-0.638976453
CORR,fastfood,-0.000093484,,-0.006567956,0.0014948084,-0.032751291,0.001913058,0.0065953445,-0.003541805,-0.002167951,0.0018914508,0.0030624485,0.0035412867,0.0318884035,0.0257722989,-0.000453379,0.0738436178,0.0405885478,0.076259825,-0.021853288,0.000489103,0.0415602499,-0.010370029,0.0758636006,-0.057572822,-0.005290177,-0.01009122,0.0087340031,-0.003168027,0.2275787159,0.6726256889,0.8649158119,1,0.5061617964,-0.327314886,0.6730948713,0.8652059538,0.9999319587,0.5076657352,-0.32755937,0.6731484729,0.8651915277,0.9996900784,0.5084244494,-0.327031957
CORR,convenience,0.0102838791,,0.0037890881,0.0300092031,-0.010475458,0.0076803216,-0.002336663,-0.06448833,-0.058906513,0.0055711707,0.0043506191,0.01098671,0.0120856186,0.0133946173,0.011325197,0.0099384055,0.0322693448,0.0018467996,0.015801795,-0.008478292,0.037493805,-0.002577337,0.0057317155,0.0049030548,0.0054933335,0.0053721718,0.050731266,0.024073031,-0.047477732,0.40831217,0.5111814263,0.5061617964,1,-0.177219722,0.4083238047,0.5117689162,0.5064364827,0.999370183,-0.176708337,0.4076293168,0.5126202158,0.5066574215,0.9969998017,-0.176647158
CORR,foodswamp,-0.006504547,,0.006408471,0.0038548193,0.005429155,-0.008613909,-0.012684977,-0.011876994,-0.015642002,-0.001971479,-0.008052829,0.0073410038,-0.001817322,0.0018695587,0.0022024572,-0.049310832,-0.011547166,-0.074351483,0.016801462,-0.011793314,-0.01068409,-0.006077263,-0.077417042,0.0440549126,-0.000657042,-0.016702195,0.0070983634,-0.01267021,-0.173737783,-0.539709491,-0.638250618,-0.327314886,-0.177219722,1,-0.540430858,-0.639214076,-0.327619459,-0.178442116,0.9983933443,-0.540989612,-0.640753483,-0.327865085,-0.179635461,0.9995743633
CORR,supermarketz,0.0075086027,,-0.001072834,0.0198641133,-0.029938138,0.0028408105,0.012721958,-0.036804149,-0.031948881,0.0031079019,0.0053249278,0.0144772479,0.0302448248,0.0246897307,0.005695301,0.031372159,0.0217594573,0.0713740266,-0.026513262,-0.016399996,0.0332148304,0.0008493941,0.0702701193,-0.045306837,0.0036589754,0.0012743062,0.0230321287,-0.005514601,0.099907047,0.9997754686,0.6983593884,0.6730948713,0.4083238047,-0.540430858,1,0.698859958,0.6733752085,0.4094479135,-0.540854384,0.9992985777,0.6994190918,0.6735899409,0.4099595651,-0.540562008
CORR,restaurantz,0.0041910684,,-0.003059047,0.0026358158,-0.025038808,0.0017769905,0.007812843,-0.00175901,0.001045376,0.0047754647,0.0059411102,0.0025534011,0.0250449978,0.0215400245,0.0039619059,0.0784956076,0.037687519,0.0941440292,-0.021433268,0.0099977633,0.0396977485,-0.003640486,0.0948055676,-0.063312729,-0.002096276,-0.000700555,0.0085472925,0.0043292405,0.2396112885,0.6986447182,0.9998859539,0.8652059538,0.5117689162,-0.639214076,0.698859958,1,0.8652475208,0.5133489474,-0.640851813,0.6985096898,0.9989561664,0.8651510092,0.5142014182,-0.63973802
CORR,fastfoodz,-0.000222857,,-0.006804525,0.0014720957,-0.032748353,0.0019131857,0.0064905465,-0.00355508,-0.002203684,0.0018596234,0.0030256582,0.0035012029,0.0318029606,0.0256673443,-0.000513663,0.0739604038,0.0405679995,0.0760633553,-0.021818701,0.0004557031,0.0416077228,-0.010291572,0.0756418109,-0.057694685,-0.005300698,-0.009868689,0.0087560671,-0.003109024,0.2276505303,0.6728591209,0.8648692939,0.9999319587,0.5064364827,-0.327619459,0.6733752085,0.8652475208,1,0.5079409471,-0.327789733,0.6735136751,0.8653924774,0.999911025,0.5086995667,-0.32736025
CORR,conveniencez,0.010158261,,0.0034802892,0.0292714349,-0.011421857,0.0074635347,-0.002609726,-0.064478175,-0.0588628,0.0054170359,0.0050092856,0.010787017,0.0122341156,0.0135954985,0.0116150753,0.0107450145,0.0325907211,0.0017160943,0.0157561237,-0.008305638,0.0373207769,-0.00285373,0.0056354818,0.0048775552,0.0060822698,0.005580587,0.0502344287,0.024641955,-0.047112307,0.4091072428,0.5127087448,0.5076657352,0.999370183,-0.178442116,0.4094479135,0.5133489474,0.5079409471,1,-0.177574528,0.4094178396,0.5144181348,0.5081621215,0.999095406,-0.177840139
CORR,foodswampz,-0.006968114,,0.0061526976,0.0037978308,0.0047922953,-0.008621679,-0.011949636,-0.011531648,-0.015314705,-0.001547096,-0.007375435,0.0071012186,-0.002142424,0.0018337831,0.0028114607,-0.048744623,-0.011006084,-0.074921162,0.0162098115,-0.012266751,-0.011128291,-0.006495214,-0.077705753,0.0443822146,0.0002020891,-0.015776729,0.0071521214,-0.012893319,-0.174688198,-0.54077657,-0.640510737,-0.32755937,-0.176708337,0.9983933443,-0.540854384,-0.640851813,-0.327789733,-0.177574528,1,-0.540332303,-0.640347768,-0.32800262,-0.178164913,0.9993174919
CORR,supermarketa,0.0073748305,,-0.001027545,0.0191519283,-0.030473838,0.002838947,0.0128271289,-0.036061505,-0.031173923,0.0029842117,0.0059147444,0.0143109667,0.029857254,0.0245699057,0.0059654974,0.0321914742,0.0214840854,0.0711971299,-0.026593106,-0.016373346,0.032852771,0.0003389184,0.0699939823,-0.04505758,0.0041783355,0.0018035021,0.0226710265,-0.005384496,0.1000065637,0.9983100107,0.6978056393,0.6731484729,0.4076293168,-0.540989612,0.9992985777,0.6985096898,0.6735136751,0.4094178396,-0.540332303,1,0.6997467278,0.6738133365,0.4108116601,-0.540935461
CORR,restauranta,0.0036241797,,-0.003671214,0.0025723746,-0.025673396,0.0017774657,0.0082588759,-0.001687901,0.000947669,0.0055519291,0.0066131838,0.0023343808,0.0249034841,0.0216711852,0.0047650935,0.0793713644,0.037953737,0.0939706493,-0.021495302,0.0098688543,0.039257437,-0.003887755,0.0947380126,-0.063345918,-0.001817067,-0.000057977,0.0085851842,0.0041388655,0.2389983914,0.6988124349,0.9981957863,0.8651915277,0.5126202158,-0.640753483,0.6994190918,0.9989561664,0.8653924774,0.5144181348,-0.640347768,0.6997467278,1,0.865484911,0.5156284789,-0.640676724
CORR,fastfooda,-0.000367778,,-0.007075458,0.0014651204,-0.03273993,0.0019125286,0.0063574992,-0.003570368,-0.002251865,0.0018235992,0.0029834039,0.0034556609,0.0317019491,0.0255458792,-0.000581199,0.0740972569,0.0405267707,0.0758471959,-0.021753994,0.0004399098,0.0416410319,-0.010190019,0.0753824947,-0.057824928,-0.005319114,-0.009627695,0.0087815253,-0.003044982,0.2276942866,0.6730269535,0.8646703196,0.9996900784,0.5066574215,-0.327865085,0.6735899409,0.8651510092,0.999911025,0.5081621215,-0.32800262,0.6738133365,0.865484911,1,0.5089203145,-0.327667923
CORR,conveniencea,0.0099073984,,0.003208151,0.0283606376,-0.012565169,0.0072323576,-0.002946742,-0.064346281,-0.058680623,0.0052282354,0.0059079949,0.0105355755,0.0122849076,0.0138060618,0.0120277573,0.0116608849,0.032760574,0.0014667411,0.0158149206,-0.007930432,0.0369489683,-0.003089885,0.0054146464,0.0049948082,0.0068784422,0.0059415237,0.0495324008,0.0251402504,-0.046716149,0.4091827586,0.5134757687,0.5084244494,0.9969998017,-0.179635461,0.4099595651,0.5142014182,0.5086995667,0.999095406,-0.178164913,0.4108116601,0.5156284789,0.5089203145,1,-0.178961468
CORR,foodswampa,-0.006519622,,0.0063928013,0.0040826766,0.0054332325,-0.008625462,-0.012323528,-0.011767152,-0.015504121,-0.001881335,-0.008123951,0.007266486,-0.001922889,0.0017267349,0.0021763647,-0.049289383,-0.011246704,-0.074559449,0.0162795859,-0.012200588,-0.010776818,-0.006156889,-0.077431976,0.0441503783,-0.000283991,-0.016439559,0.007295875,-0.012676634,-0.174242653,-0.540005461,-0.638976453,-0.327031957,-0.176647158,0.9995743633,-0.540562008,-0.63973802,-0.32736025,-0.177840139,0.9993174919,-0.540935461,-0.640676724,-0.327667923,-0.178961468,1
