_TYPE_,_NAME_,cohort,white,sex,chage,chob,chbmi,chbmibase,bmibpreg,abwt,gweek,prev_preg,incom01,income,Comp_Gesdbg,Comp_prghtng,Comp_peclmpg,Delivery,pregcomp,pregcomp2,husbeduc,mosmk,agebirth,chwest,chcal,chst,chpa,moage,mowest,mocal,mopa,mobmi,moshift,ses,gotweight
CORR,chst,,-0.05367856,-0.045070354,0.1168593166,,0.0836221214,0.0836221214,0.0362479505,-0.008337776,0.0104324491,-0.013825188,-0.018814027,-0.023701992,0.0122516812,0.0249808301,0.0333477769,0.0166252293,0.0252863981,0.0297195876,-0.030522378,0.0390382145,-0.01796067,0.0849832756,0.0712411914,1,0.1684266439,0.0330136093,0.0322995763,0.0066065406,0.0287675745,0.070703496,0.051694279,-0.008141972,0.0255338458
CORR,chpa,,0.0258977013,-0.092715422,0.1677186416,,0.0298856601,0.0298856601,-0.013102629,0.0123193344,0.0015702835,0.0020703266,0.0228372214,0.0215732008,-0.011681355,-0.004715309,0.005668933,-0.010859327,-0.011356336,-0.006662412,-0.013114402,0.0472022044,-0.068653583,0.1313695637,0.2291156904,0.1684266439,1,0.0082772788,0.0166259435,0.0299233588,0.1318409755,-0.007132844,0.0399112951,-0.015783982,-0.01263478
CORR,moage,,-0.041563353,0.0073030607,0.2408886664,,0.0881660886,0.0881660886,0.0423850508,-0.013713844,-0.021912203,0.327675136,0.0545945771,0.0570463237,0.009938212,-0.015817994,-0.061116925,0.0345239146,0.0144546969,-0.030455852,0.1895820018,0.0648366112,0.8723732151,-0.063044602,-0.02561391,0.0330136093,0.0082772788,1,-0.115578301,-0.046168141,-0.066055394,0.0377815575,0.0145066377,0.1933482172,-0.012390694
CORR,mowest,,0.0285935289,0.0100022011,0.0186413493,,0.0205338579,0.0205338579,0.0471556784,0.0267106902,0.0146596712,0.0013713033,-0.12391246,-0.124676461,0.0327936674,0.0169037934,0.011954513,-0.007323166,0.0026023662,0.0236325598,-0.115285094,-0.022318379,-0.122997531,0.2336029245,0.1539509754,0.0322995763,0.0166259435,-0.115578301,1,0.7385262859,-0.09651276,0.1128251667,0.0358410403,-0.178587825,0.0115115092
CORR,mocal,,-0.001148571,0.0057601414,-0.001655181,,-0.011910309,-0.011910309,-0.002473627,0.0206822973,0.0158003164,0.0016238062,-0.0513806,-0.053506474,0.0264069199,0.0123856213,0.0124523584,-0.019346411,-0.007262381,0.020053404,0.0087940965,-0.037179715,-0.04475132,0.1218338675,0.1781315352,0.0066065406,0.0299233588,-0.046168141,0.7385262859,1,0.0658081246,0.0259318312,0.0362661481,-0.03355914,0.0246119829
CORR,mopa,,0.0300194232,-0.016409978,-0.008518709,,-0.003938448,-0.003938448,-0.050718928,-0.004391719,0.0013335396,0.010190291,0.0476232603,0.0491099448,-0.018158047,0.0094709024,0.0059384764,-0.013376161,-0.006166806,-0.002208993,0.0456888575,0.0286729758,-0.060039419,-0.005060017,0.040884107,0.0287675745,0.1318409755,-0.066055394,-0.09651276,0.0658081246,1,-0.097989039,0.0691591062,0.0499588204,0.0079115426
CORR,mobmi,,-0.027687534,0.0048837002,0.043864117,,0.2595280443,0.2595280443,0.8109868359,0.0500477739,0.0268049286,0.0396902353,-0.093757037,-0.092240335,0.0506240265,0.0811259551,0.0905330186,0.1100830183,0.132295623,0.1122331469,-0.103035811,0.0252915577,0.0176912725,0.0443172889,-0.02187249,0.070703496,-0.007132844,0.0377815575,0.1128251667,0.0259318312,-0.097989039,1,0.0845551748,-0.126319315,0.2753140506
CORR,moshift,,-0.004886349,0.010017328,5.8037895E-6,,0.0315471605,0.0315471605,0.0592641568,-0.000032821,0.0055448051,-0.013779459,-0.011534262,-0.014163625,0.0023485664,0.0145126334,0.0126482232,-0.004914645,0.0032708644,0.0120331908,-0.001033523,0.0600713685,0.0137289111,0.031838142,0.0260566249,0.051694279,0.0399112951,0.0145066377,0.0358410403,0.0362661481,0.0691591062,0.0845551748,1,-0.020613968,0.0385286103
CORR,ses,,-0.060495127,-0.009498378,-0.023562024,,-0.056497042,-0.056497042,-0.095673107,0.0117241882,0.0112496945,0.0143667314,0.2792189179,0.2762596187,-0.001088031,-0.010424449,-0.020505474,0.0112544335,0.0059331145,-0.015136428,0.2589925076,0.0262811759,0.2096713806,-0.074353743,0.018346998,-0.008141972,-0.015783982,0.1933482172,-0.178587825,-0.03355914,0.0499588204,-0.126319315,-0.020613968,1,-0.000325366
CORR,gotweight,,-0.018622538,-0.012318029,-0.000022804,,0.1179460697,0.1179460697,0.2133699904,0.076404849,0.077122783,-0.030891535,-0.001611193,0.0034964346,0.0418987898,0.1039002626,0.1352915273,0.0851071889,0.1258984433,0.141065049,-0.012996939,0.0733263249,-0.014114344,-0.004991851,-0.012620996,0.0255338458,-0.01263478,-0.012390694,0.0115115092,0.0246119829,0.0079115426,0.2753140506,0.0385286103,-0.000325366,1
