Parm,NImpute,Estimate,StdErr,LCLMean,UCLMean,DF,Min,Max,Theta0,tValue,Probt,mod,RR,LCI,UCI
gweek3,5,0.077970,0.083840,-0.09574,0.25168,22.354,-0.003771,0.129906,0,0.93,0.3623,mom,1.0810903541,0.9086969349,1.2861893871
Delivery,5,0.010783,0.039110,-0.06587,0.08744,37684,0.005530,0.014797,0,0.28,0.7828,mom,1.0108412743,0.9362486411,1.0913768383
pregcomp2,5,0.076617,0.054459,-0.03032,0.18355,659.35,0.063617,0.092408,0,1.41,0.1599,mom,1.0796285585,0.9701384413,1.2014757633
bpregow,5,0.292157,0.048010,0.19772,0.38660,333.64,0.279215,0.314894,0,6.09,<.0001,mom,1.3393135939,1.2186170839,1.4719643492
prev_preg1,5,-0.010214,0.040781,-0.09023,0.06981,1069.6,-0.025047,-0.000541,0,-0.25,0.8023,mom,0.989837921,0.9137179505,1.0722992903
prev_preg2,5,0.005090,0.047724,-0.08858,0.09876,844.57,-0.005475,0.021818,0,0.11,0.9151,mom,1.0051033448,0.9152288283,1.1038034452
prev_preg3,5,0.030561,0.059762,-0.08862,0.14974,70.418,-0.002747,0.068587,0,0.51,0.6107,mom,1.0310324277,0.9151942905,1.1615324506
moage,5,0.001806,0.006047,-0.01064,0.01425,25.391,-0.003548,0.005774,0,0.30,0.7676,mom,1.0018077015,0.9894183102,1.0143522315
cohort,5,0.046469,0.042292,-0.03710,0.13004,148.25,0.026926,0.064198,0,1.10,0.2737,mom,1.0475654094,0.9635757201,1.1388760261
chage,5,0.071240,0.009655,0.05154,0.09094,30.783,0.067066,0.079773,0,7.38,<.0001,mom,1.0738392516,1.0528943391,1.0952008149
white,5,-0.103572,0.069790,-0.24198,0.03483,103.48,-0.149646,-0.074022,0,-1.48,0.1408,mom,0.9016107993,0.7850745105,1.0354457093
sex,5,-0.514649,0.036571,-0.58790,-0.44139,56.211,-0.533300,-0.488995,0,-14.07,<.0001,mom,0.597710278,0.5554902269,0.6431392653
INTERCEPT,5,-4.005395,0.221267,-4.45919,-3.55160,27.261,-4.133543,-3.837971,0,-18.10,<.0001,ute,0.0182170841,0.0115716826,0.0286788158
agebirth,5,-0.002086,0.005989,-0.01439,0.01022,26.348,-0.007354,0.001811,0,-0.35,0.7304,ute,0.9979163214,0.985715186,1.010268482
abwt1,5,-0.075478,0.111061,-0.29829,0.14733,52.499,-0.138875,-0.014037,0,-0.68,0.4997,ute,0.9273004502,0.7420877668,1.1587391186
abwt3,5,0.240413,0.088000,0.06763,0.41319,689.7,0.212481,0.266923,0,2.73,0.0065,ute,1.2717748868,1.0699733932,1.5116369929
gweek1,5,0.000869,0.085731,-0.17279,0.17453,37.292,-0.065430,0.058659,0,0.01,0.9920,ute,1.0008698376,0.8413122936,1.1906879757
