Parm,NImpute,Estimate,StdErr,LCLMean,UCLMean,DF,Min,Max,Theta0,tValue,Probt,mod,RR,LCI,UCI
white,5,-0.093345,0.121144,-0.33180,0.14511,285.17,-0.156693,-0.058788,0,-0.77,0.4416,ind s,0.9108796328,0.7176342806,1.1561623069
sex,5,-0.438414,0.059964,-0.55698,-0.31985,138.41,-0.457726,-0.411645,0,-7.31,<.0001,ind s,0.6450587994,0.5729385266,0.7262574175
INTERCEPT,5,-5.253287,0.254044,-5.75394,-4.75263,221.42,-5.348741,-5.137028,0,-20.68,<.0001,ind s,0.0052302998,0.0031702656,0.0086289412
superz_m,5,0.056826,0.033989,-0.01106,0.12471,64.746,0.034933,0.076790,0,1.67,0.0994,ind s,1.0584715072,0.9890004257,1.1328224968
restz_m,5,0.015025,0.008482,-0.00166,0.03171,336.48,0.012566,0.019284,0,1.77,0.0774,ind s,1.0151384432,0.9983414946,1.032217998
fastz_m,5,-0.010050,0.010346,-0.03057,0.01047,104.1,-0.016031,-0.006585,0,-0.97,0.3336,ind s,0.9900000856,0.9698965479,1.0105203196
convz_m,5,-0.049401,0.048920,-0.14686,0.04805,74.944,-0.070837,-0.022791,0,-1.01,0.3158,ind s,0.9517995191,0.8634178762,1.0492281311
ses_m,5,-0.063610,0.012491,-0.08822,-0.03900,237.88,-0.067685,-0.057341,0,-5.09,<.0001,ind s,0.9383708991,0.9155619279,0.9617480998
husbeduc,5,-0.146716,0.043719,-0.23258,-0.06086,604.46,-0.159226,-0.130990,0,-3.36,0.0008,ind s,0.8635389257,0.7924895867,0.9409580752
income,5,-0.053352,0.035111,-0.12245,0.01574,301.52,-0.069936,-0.044868,0,-1.52,0.1297,ind s,0.9480463887,0.8847542897,1.0158661739
midwest,5,0.026393,0.067187,-0.10540,0.15818,1523.6,0.004109,0.040933,0,0.39,0.6945,ind s,1.0267440512,0.8999687602,1.1713777113
south,5,-0.006046,0.095797,-0.19639,0.18430,89.02,-0.071157,0.026699,0,-0.06,0.9498,ind s,0.9939718165,0.8216889948,1.2023770285
west,5,-0.173600,0.102599,-0.37579,0.02859,222.12,-0.210580,-0.132576,0,-1.69,0.0920,ind s,0.8406328575,0.6867452867,1.0290039331
cohort,5,0.071795,0.065389,-0.05655,0.20014,835.43,0.054215,0.093335,0,1.10,0.2725,ind s,1.0744352665,0.9450178029,1.2215760787
chage,5,0.099807,0.011676,0.07686,0.12275,461.2,0.096634,0.104378,0,8.55,<.0001,ind s,1.1049580082,1.079893607,1.1306041558
white,5,-0.090582,0.121216,-0.32922,0.14805,273.87,-0.154307,-0.057237,0,-0.75,0.4555,ind s,0.9133992132,0.7194871723,1.159573311
sex,5,-0.437877,0.060201,-0.55702,-0.31873,125.29,-0.457414,-0.410876,0,-7.27,<.0001,ind s,0.6454050092,0.5729139051,0.7270684518
INTERCEPT,5,-6.017823,0.264184,-6.54835,-5.48730,50.392,-6.148221,-5.807454,0,-22.78,<.0001,swamp,0.002434964,0.0014324757,0.0041390229
foodswampaq1,5,0.003085,0.078108,-0.15017,0.15634,1094.1,-0.025614,0.022216,0,0.04,0.9685,swamp,1.0030894515,0.8605592552,1.1692262231
foodswampaq2,5,-0.072039,0.097101,-0.26682,0.12275,52.722,-0.146328,-0.028454,0,-0.74,0.4614,swamp,0.9304946557,0.7658083196,1.1305966287
foodswampaq3,5,-0.139092,0.078479,-0.29309,0.01490,1044.8,-0.153939,-0.116409,0,-1.77,0.0766,swamp,0.8701479846,0.7459583555,1.0150131164
sesq0,5,0.469203,0.099567,0.27192,0.66649,111.57,0.408887,0.517345,0,4.71,<.0001,swamp,1.5987194711,1.3124756696,1.9473914881
sesq1,5,0.348156,0.093293,0.16457,0.53174,303.48,0.330599,0.399175,0,3.73,0.0002,swamp,1.4164532004,1.1788902901,1.7018883655
sesq2,5,0.213806,0.093563,0.02962,0.39799,277.9,0.182406,0.260450,0,2.29,0.0231,swamp,1.2383829221,1.0300680796,1.4888261195
heduc1,5,0.296967,0.088310,0.12342,0.47052,452.43,0.268000,0.321361,0,3.36,0.0008,swamp,1.3457711748,1.1313579299,1.6008196938
heduc2,5,0.136666,0.068014,0.00325,0.27008,1520.3,0.117662,0.154930,0,2.01,0.0447,swamp,1.1464452422,1.003259335,1.310066747
fincome1,5,0.156903,0.111250,-0.06123,0.37504,2890.8,0.133720,0.177191,0,1.41,0.1585,swamp,1.1698818457,0.9406032697,1.4550486662
fincome2,5,0.099665,0.113663,-0.13149,0.33082,33.369,0.013645,0.161595,0,0.88,0.3868,swamp,1.1048007073,0.8767915013,1.3921035972
